,year,avg_temp
14,1764,47.12
15,1765,46.85
16,1766,47.14
17,1767,46.8
18,1768,44.2
19,1769,45.84
20,1770,45.84
21,1771,46.13
22,1772,46.74
23,1773,46.8
24,1774,47.79
25,1775,48.52
26,1776,46.94
27,1777,46.87
28,1778,47.37
29,1779,48.16
30,1780,48.97
31,1781,46.58
32,1782,46.22
33,1783,45.82
34,1784,46.15
35,1785,45.25
36,1786,46.87
37,1787,46.45
38,1788,47.21
39,1789,46.99
40,1790,46.36
41,1791,46.81
42,1792,46.56
43,1793,46.81
44,1794,47.35
45,1795,47.03
46,1796,46.89
47,1797,47.32
48,1798,47.61
49,1799,47.32
50,1800,47.26
51,1801,47.46
52,1802,47.44
53,1803,47.3
54,1804,47.91
55,1805,47.41
56,1806,47.17
57,1807,46.9
58,1808,45.73
59,1809,44.74
60,1810,44.46
61,1811,44.35
62,1812,44.69
63,1813,45.93
64,1814,45.66
65,1815,45.03
66,1816,44.49
67,1817,44.56
68,1818,46.09
69,1819,45.27
70,1820,45.72
71,1821,46.56
72,1822,46.74
73,1823,45.9
74,1824,47.39
75,1825,47.1
76,1826,47.05
77,1827,47.86
78,1828,46.71
79,1829,46.29
80,1830,47.34
81,1831,45.75
82,1832,45.41
83,1833,46.42
84,1834,46.67
85,1835,45.3
86,1836,45.86
87,1837,45.28
88,1838,45.52
89,1839,45.73
90,1840,46.04
91,1841,45.84
92,1842,46.44
93,1843,46.71
94,1844,45.77
95,1845,46.13
96,1846,47.39
97,1847,46.56
98,1848,46.36
99,1849,46.36
100,1850,46.22
101,1851,46.72
102,1852,46.58
103,1853,46.47
104,1854,46.78
105,1855,46.6
106,1856,46.4
107,1857,45.97
108,1858,46.58
109,1859,46.85
110,1860,46.33
111,1861,46.13
112,1862,45.61
113,1863,46.6
114,1864,46.36
115,1865,46.72
116,1866,46.92
117,1867,47.19
118,1868,46.85
119,1869,47.17
120,1870,46.76
121,1871,46.62
122,1872,46.74
123,1873,47.03
124,1874,47.17
125,1875,46.15
126,1876,46.54
127,1877,47.37
128,1878,47.89
129,1879,46.71
130,1880,46.62
131,1881,46.89
132,1882,46.63
133,1883,46.36
134,1884,45.99
135,1885,46.26
136,1886,46.31
137,1887,46.24
138,1888,46.56
139,1889,46.98
140,1890,46.35
141,1891,46.44
142,1892,46.53
143,1893,46.51
144,1894,46.69
145,1895,46.67
146,1896,46.78
147,1897,46.92
148,1898,46.72
149,1899,47.12
150,1900,47.3
151,1901,47.37
152,1902,46.94
153,1903,46.8
154,1904,46.56
155,1905,46.81
156,1906,47.08
157,1907,46.31
158,1908,46.74
159,1909,46.72
160,1910,46.8
161,1911,46.72
162,1912,46.71
163,1913,46.94
164,1914,47.46
165,1915,47.46
166,1916,46.81
167,1917,46.44
168,1918,46.63
169,1919,47.08
170,1920,47.05
171,1921,47.43
172,1922,47.14
173,1923,47.16
174,1924,47.32
175,1925,47.35
176,1926,47.71
177,1927,47.34
178,1928,47.53
179,1929,46.83
180,1930,47.53
181,1931,47.7
182,1932,47.68
183,1933,47.01
184,1934,47.53
185,1935,47.34
186,1936,47.39
187,1937,47.66
188,1938,47.95
189,1939,47.77
190,1940,47.77
191,1941,47.79
192,1942,47.71
193,1943,47.77
194,1944,47.93
195,1945,47.44
196,1946,47.62
197,1947,47.84
198,1948,47.75
199,1949,47.46
200,1950,47.07
201,1951,47.53
202,1952,47.55
203,1953,47.97
204,1954,47.41
205,1955,47.53
206,1956,46.9
207,1957,47.71
208,1958,47.79
209,1959,47.71
210,1960,47.44
211,1961,47.84
212,1962,47.75
213,1963,47.95
214,1964,47.14
215,1965,47.35
216,1966,47.48
217,1967,47.66
218,1968,47.34
219,1969,47.48
220,1970,47.66
221,1971,47.48
222,1972,47.3
223,1973,48.11
224,1974,47.25
225,1975,47.73
226,1976,47.03
227,1977,47.93
228,1978,47.64
229,1979,47.71
230,1980,48.16
231,1981,48.51
232,1982,47.55
233,1983,48.25
234,1984,47.64
235,1985,47.59
236,1986,47.89
237,1987,48.18
238,1988,48.56
239,1989,48.06
240,1990,48.61
241,1991,48.52
242,1992,47.91
243,1993,47.97
244,1994,48.27
245,1995,48.83
246,1996,48.27
247,1997,48.56
248,1998,49.14
249,1999,48.72
250,2000,48.56
251,2001,48.94
252,2002,49.23
253,2003,49.15
254,2004,48.78
255,2005,49.46
256,2006,49.15
257,2007,49.51
258,2008,48.97
259,2009,49.12
260,2010,49.46
261,2011,49.14
262,2012,49.12
263,2013,49.3
